Dangerous 
Emotional 
Compassionate 
Aggressive 
Capable 
Happy 
Strange 
Organic 
Scary 
Responsive 
Awkward 
Knowledgeable 
Sociable 
Feeling 
Competent 
Reliable 
Awful 
Interactive
