1,Machinelike, Humanlike
2,Ignorant , Knowledgeable
3,Awful , Nice
4,Unkind , Kind
5,Unintelligent , Intelligent
6,Dislike , Like
7,Dead  , Alive
8,Foolish , Sensible  
9,Unconscious, Conscious
10,Artificial , Lifelike
11,Fake , Natural
12,Moving rigidly , Moving elegantly 
13,Incompetent , Competent
14,Mechanical , Organic
15,Stagnant   , Lively
16,Unpleasant , Pleasant
17,Apathetic , Responsive
18,Unfriendly , Friendly
19,Irresponsible , Responsible
20,Inert , Interactive
